DateTime,Accelerometer x,y,z,Temperature,Lux,Humidity,Proximity,Pressure,Altitude,Roll,Pitch 
2018-10-18 3:1:0.000,1.10,0.46,-9.22,21.63,19.00,43.66,0.82,102841.04,-136.46,177.16,-6.80
2018-10-18 3:1:0.500,1.11,0.50,-9.20,21.63,19.00,43.64,0.82,102835.53,-135.96,176.91,-6.88
2018-10-18 3:1:1.000,1.06,0.01,-9.20,21.64,17.00,43.65,0.82,102834.41,-135.86,179.95,-6.60
2018-10-18 3:1:1.500,0.98,0.13,-9.59,21.63,17.00,43.66,0.82,102830.85,-135.54,179.21,-5.82
2018-10-18 3:1:2.000,0.78,0.16,-10.30,21.63,17.00,43.65,0.82,102828.09,-135.29,179.11,-4.31
2018-10-18 3:1:2.500,0.63,0.19,-9.67,21.64,19.00,43.65,0.82,102826.14,-135.11,178.88,-3.74
2018-10-18 3:1:3.000,0.72,0.58,-9.18,21.62,17.00,43.64,0.82,102820.92,-134.64,176.37,-4.47
2018-10-18 3:1:3.500,0.89,0.46,-8.71,21.63,17.00,43.65,0.82,102817.07,-134.30,176.99,-5.83
2018-10-18 3:1:4.000,0.90,0.18,-8.71,21.63,20.00,43.64,0.82,102806.05,-133.31,178.82,-5.90
2018-10-18 3:1:4.500,0.55,-0.10,-8.92,21.63,19.00,43.65,0.82,102808.80,-133.55,-179.40,-3.50
2018-10-18 3:1:5.000,0.23,0.18,-8.90,21.63,17.00,43.64,0.82,102799.70,-132.73,178.84,-1.48
2018-10-18 3:1:5.500,0.20,-0.09,-9.19,21.62,17.00,43.64,0.82,102809.89,-133.65,-179.48,-1.25
2018-10-18 3:1:6.000,-0.02,0.15,-9.56,21.63,17.00,43.64,0.82,102818.99,-134.47,179.09,0.11
2018-10-18 3:1:6.500,0.20,0.04,-9.32,21.63,19.00,43.64,0.82,102843.80,-136.70,179.78,-1.24
2018-10-18 3:1:7.000,0.03,0.00,-9.23,21.63,17.00,43.65,0.82,102849.30,-137.20,180.01,-0.18
2018-10-18 3:1:7.500,-0.09,0.04,-9.24,21.63,17.00,43.64,0.82,102857.57,-137.94,179.78,0.53
2018-10-18 3:1:8.000,0.02,0.09,-9.37,21.63,17.00,43.64,0.82,102860.33,-138.19,179.49,-0.12
2018-10-18 3:1:8.500,0.15,0.18,-9.61,21.62,19.00,43.63,0.82,102873.27,-139.36,178.93,-0.91
2018-10-18 3:1:9.000,1.17,0.23,-9.97,21.62,19.00,43.63,0.82,102873.27,-139.36,178.69,-6.68
2018-10-18 3:1:9.500,1.13,0.12,-10.09,21.62,17.00,43.64,0.82,102876.03,-139.60,179.31,-6.39
2018-10-18 3:1:10.000,1.35,0.36,-9.40,21.63,20.00,43.63,0.82,102872.19,-139.26,177.79,-8.17
2018-10-18 3:1:10.500,0.94,0.43,-9.31,21.64,19.00,43.64,0.82,102861.96,-138.34,177.36,-5.75
2018-10-18 3:1:11.000,1.17,0.19,-9.39,21.63,17.00,43.64,0.82,102850.14,-137.27,178.84,-7.10
2018-10-18 3:1:11.500,0.68,0.36,-9.18,21.62,17.00,43.63,0.82,102848.47,-137.12,177.74,-4.24
2018-10-18 3:1:12.000,0.29,0.16,-9.09,21.63,17.00,43.63,0.82,102841.04,-136.46,178.99,-1.81
2018-10-18 3:1:12.500,0.17,-0.16,-8.99,21.62,20.00,43.64,0.82,102826.43,-135.14,-178.98,-1.10
2018-10-18 3:1:13.000,0.37,-0.09,-8.96,21.63,19.00,43.63,0.82,102818.99,-134.47,-179.46,-2.39
2018-10-18 3:1:13.500,1.08,0.25,-10.09,21.63,17.00,43.64,0.82,102813.48,-133.98,178.60,-6.12
2018-10-18 3:1:14.000,1.42,0.18,-9.96,21.63,17.00,43.62,0.82,102822.58,-134.79,178.97,-8.10
2018-10-18 3:1:14.500,1.05,0.28,-9.44,21.63,17.00,43.62,0.82,102817.07,-134.30,178.33,-6.37
2018-10-18 3:1:15.000,0.71,-0.11,-8.64,21.63,19.00,43.62,0.82,102819.83,-134.55,-179.31,-4.69
2018-10-18 3:1:15.500,0.01,0.29,-8.95,21.62,19.00,43.63,0.82,102812.66,-133.90,178.17,-0.06
2018-10-18 3:1:16.000,0.22,-0.07,-9.05,21.63,17.00,43.64,0.82,102813.48,-133.98,-179.59,-1.39
2018-10-18 3:1:16.500,0.54,0.23,-9.77,21.63,17.00,43.63,0.82,102819.83,-134.55,178.67,-3.14
2018-10-18 3:1:17.000,0.36,0.16,-8.90,21.62,19.00,43.61,0.82,102815.41,-134.15,178.96,-2.34
2018-10-18 3:1:17.500,1.08,0.34,-9.20,21.63,17.00,43.63,0.82,102818.99,-134.47,177.93,-6.71
2018-10-18 3:1:18.000,0.93,0.10,-9.09,21.63,17.00,43.63,0.82,102835.53,-135.96,179.41,-5.84
2018-10-18 3:1:18.500,0.60,0.16,-9.42,21.63,17.00,43.62,0.82,102836.36,-136.03,179.02,-3.67
2018-10-18 3:1:19.000,0.19,0.08,-9.92,21.63,19.00,43.61,0.82,102841.04,-136.46,179.57,-1.11
2018-10-18 3:1:19.500,0.05,-0.12,-9.53,21.63,17.00,43.61,0.82,102839.11,-136.28,-179.26,-0.29
2018-10-18 3:1:20.000,-0.03,-0.09,-9.21,21.63,17.00,43.63,0.82,102847.38,-137.03,-179.48,0.18
2018-10-18 3:1:20.500,0.35,0.08,-9.71,21.63,19.00,43.64,0.82,102847.38,-137.03,179.56,-2.09
2018-10-18 3:1:21.000,0.66,0.31,-9.45,21.63,17.00,43.62,0.82,102843.80,-136.70,178.15,-4.00
2018-10-18 3:1:21.500,1.08,0.36,-9.25,21.63,17.00,43.61,0.82,102836.36,-136.03,177.76,-6.67
2018-10-18 3:1:22.000,1.47,-0.03,-9.34,21.62,17.00,43.62,0.82,102826.43,-135.14,-179.84,-8.92
2018-10-18 3:1:22.500,0.96,0.49,-9.24,21.62,19.00,43.61,0.82,102829.19,-135.39,176.99,-5.91
2018-10-18 3:1:23.000,0.80,-0.06,-9.60,21.63,19.00,43.62,0.82,102832.77,-135.71,-179.67,-4.74
2018-10-18 3:1:23.500,0.23,-0.09,-9.14,21.63,17.00,43.60,0.82,102839.11,-136.28,-179.47,-1.44
2018-10-18 3:1:24.000,0.10,-0.07,-9.11,21.63,19.00,43.62,0.82,102847.38,-137.03,-179.59,-0.60
2018-10-18 3:1:24.500,-0.34,-0.23,-9.22,21.63,17.00,43.61,0.82,102846.55,-136.95,-178.58,2.08
2018-10-18 3:1:25.000,0.60,0.05,-9.86,21.63,17.00,43.62,0.82,102849.30,-137.20,179.73,-3.50
