DateTime,Accelerometer x,y,z,Temperature,Lux,Humidity,Proximity,Pressure,Altitude,Roll,Pitch 
2018-10-20 17:0:0.000,0.73,0.12,-9.50,22.72,17.00,46.76,0.82,103074.78,-157.49,179.26,-4.38
2018-10-20 17:0:0.500,0.66,0.09,-9.35,22.72,17.00,46.73,0.82,103069.27,-157.00,179.48,-4.04
2018-10-20 17:0:1.000,0.64,0.13,-9.48,22.73,20.00,46.73,0.82,103073.69,-157.40,179.20,-3.87
2018-10-20 17:0:1.500,0.60,0.19,-9.75,22.73,20.00,46.75,0.82,103080.02,-157.96,178.89,-3.54
2018-10-20 17:0:2.000,0.57,0.11,-9.52,22.72,19.00,46.75,0.82,103067.33,-156.82,179.32,-3.45
2018-10-20 17:0:2.500,0.39,0.15,-9.17,22.72,17.00,46.74,0.82,103075.61,-157.57,179.06,-2.45
2018-10-20 17:0:3.000,0.44,0.11,-8.98,22.72,19.00,46.73,0.82,103075.61,-157.57,179.34,-2.81
2018-10-20 17:0:3.500,0.58,0.21,-9.60,22.73,17.00,46.74,0.82,103065.41,-156.65,178.76,-3.48
2018-10-20 17:0:4.000,0.47,0.09,-9.53,22.72,19.00,46.75,0.82,103070.09,-157.07,179.49,-2.82
2018-10-20 17:0:4.500,0.63,0.11,-9.56,22.72,17.00,46.74,0.82,103069.27,-157.00,179.38,-3.78
2018-10-20 17:0:5.000,0.65,0.13,-9.50,22.72,20.00,46.74,0.82,103074.78,-157.49,179.20,-3.92
2018-10-20 17:0:5.500,0.59,0.10,-9.37,22.72,19.00,46.73,0.82,103072.86,-157.32,179.43,-3.63
2018-10-20 17:0:6.000,0.57,0.06,-9.28,22.72,19.00,46.74,0.82,103075.61,-157.57,179.66,-3.48
2018-10-20 17:0:6.500,0.45,0.15,-9.39,22.73,17.00,46.73,0.82,103070.93,-157.15,179.08,-2.75
2018-10-20 17:0:7.000,0.65,0.15,-9.67,22.72,19.00,46.72,0.82,103072.02,-157.24,179.11,-3.85
2018-10-20 17:0:7.500,0.66,0.04,-9.29,22.72,19.00,46.75,0.82,103075.61,-157.57,179.78,-4.07
2018-10-20 17:0:8.000,0.63,0.03,-9.51,22.73,19.00,46.74,0.82,103070.93,-157.15,179.84,-3.80
2018-10-20 17:0:8.500,0.53,0.14,-9.29,22.72,17.00,46.72,0.82,103075.61,-157.57,179.13,-3.25
2018-10-20 17:0:9.000,0.70,0.09,-9.23,22.72,19.00,46.73,0.82,103075.61,-157.57,179.48,-4.33
2018-10-20 17:0:9.500,0.62,0.04,-9.35,22.72,20.00,46.73,0.82,103075.61,-157.57,179.78,-3.81
2018-10-20 17:0:10.000,0.52,0.19,-9.68,22.72,17.00,46.74,0.82,103072.02,-157.24,178.88,-3.06
2018-10-20 17:0:10.500,0.60,0.12,-9.48,22.72,17.00,46.74,0.82,103075.61,-157.57,179.26,-3.64
2018-10-20 17:0:11.000,0.68,0.11,-9.07,22.73,20.00,46.74,0.82,103070.93,-157.15,179.29,-4.29
2018-10-20 17:0:11.500,0.64,0.03,-9.46,22.72,19.00,46.74,0.82,103075.61,-157.57,179.84,-3.88
2018-10-20 17:0:12.000,0.60,0.11,-9.61,22.72,19.00,46.73,0.82,103072.86,-157.32,179.38,-3.59
2018-10-20 17:0:12.500,0.60,0.04,-9.67,22.72,17.00,46.73,0.82,103070.09,-157.07,179.79,-3.57
2018-10-20 17:0:13.000,0.49,0.08,-9.42,22.72,17.00,46.76,0.82,103070.09,-157.07,179.55,-2.97
2018-10-20 17:0:13.500,0.69,0.14,-9.28,22.72,17.00,46.75,0.82,103078.38,-157.82,179.13,-4.25
2018-10-20 17:0:14.000,0.76,0.07,-9.23,22.73,17.00,46.74,0.82,103070.93,-157.15,179.60,-4.69
2018-10-20 17:0:14.500,0.55,0.09,-9.24,22.72,17.00,46.72,0.82,103075.61,-157.57,179.48,-3.38
2018-10-20 17:0:15.000,0.57,0.07,-9.29,22.72,17.00,46.75,0.82,103066.50,-156.75,179.60,-3.54
2018-10-20 17:0:15.500,0.67,0.07,-9.20,22.72,17.00,46.75,0.82,103067.33,-156.82,179.60,-4.17
2018-10-20 17:0:16.000,0.61,0.03,-9.52,22.72,20.00,46.74,0.82,103075.61,-157.57,179.84,-3.68
2018-10-20 17:0:16.500,0.67,0.06,-9.65,22.72,17.00,46.74,0.82,103072.02,-157.24,179.67,-3.98
2018-10-20 17:0:17.000,0.67,0.03,-9.33,22.71,17.00,46.74,0.82,103068.45,-156.92,179.84,-4.11
