t1= 18.8393, c1= 4.50052, s= 33.5455, t2= 18.7917, lat=43 25.9701 N, lon=062 13.5063 W, hms=000003, dmy=081018
t1= 18.8439, c1= 4.50105, s= 33.5462, t2= 18.7929, lat=43 25.9722 N, lon=062 13.4784 W, hms=000013, dmy=081018
t1= 18.8468, c1= 4.50136, s= 33.5465, t2= 18.7943, lat=43 25.9743 N, lon=062 13.4507 W, hms=000023, dmy=081018
t1= 18.8477, c1= 4.50148, s= 33.5467, t2= 18.7962, lat=43 25.9767 N, lon=062 13.4228 W, hms=000033, dmy=081018
t1= 18.8490, c1= 4.50161, s= 33.5468, t2= 18.7982, lat=43 25.9793 N, lon=062 13.3949 W, hms=000043, dmy=081018
t1= 18.8508, c1= 4.50182, s= 33.5470, t2= 18.7989, lat=43 25.9820 N, lon=062 13.3671 W, hms=000053, dmy=081018
t1= 18.8524, c1= 4.50197, s= 33.5469, t2= 18.7993, lat=43 25.9846 N, lon=062 13.3394 W, hms=000103, dmy=081018
t1= 18.8524, c1= 4.50228, s= 33.5496, t2= 18.8058, lat=43 25.9873 N, lon=062 13.3118 W, hms=000113, dmy=081018
t1= 18.8520, c1= 4.50218, s= 33.5491, t2= 18.8106, lat=43 25.9900 N, lon=062 13.2842 W, hms=000124, dmy=081018
t1= 18.8532, c1= 4.50230, s= 33.5491, t2= 18.8145, lat=43 25.9927 N, lon=062 13.2566 W, hms=000134, dmy=081018
t1= 18.8576, c1= 4.50288, s= 33.5504, t2= 18.8156, lat=43 25.9953 N, lon=062 13.2291 W, hms=000144, dmy=081018
t1= 18.8621, c1= 4.50342, s= 33.5512, t2= 18.8177, lat=43 25.9979 N, lon=062 13.2015 W, hms=000154, dmy=081018
t1= 18.8668, c1= 4.50392, s= 33.5515, t2= 18.8185, lat=43 26.0006 N, lon=062 13.1738 W, hms=000204, dmy=081018
t1= 18.8687, c1= 4.50424, s= 33.5527, t2= 18.8180, lat=43 26.0032 N, lon=062 13.1461 W, hms=000214, dmy=081018
t1= 18.8711, c1= 4.50448, s= 33.5528, t2= 18.8162, lat=43 26.0057 N, lon=062 13.1186 W, hms=000224, dmy=081018
t1= 18.8721, c1= 4.50460, s= 33.5529, t2= 18.8138, lat=43 26.0080 N, lon=062 13.0912 W, hms=000234, dmy=081018
t1= 18.8728, c1= 4.50455, s= 33.5519, t2= 18.8157, lat=43 26.0102 N, lon=062 13.0638 W, hms=000244, dmy=081018
t1= 18.8717, c1= 4.50435, s= 33.5512, t2= 18.8159, lat=43 26.0125 N, lon=062 13.0364 W, hms=000254, dmy=081018
t1= 18.8703, c1= 4.50411, s= 33.5503, t2= 18.8173, lat=43 26.0150 N, lon=062 13.0091 W, hms=000304, dmy=081018
t1= 18.8706, c1= 4.50408, s= 33.5498, t2= 18.8130, lat=43 26.0175 N, lon=062 12.9818 W, hms=000314, dmy=081018
t1= 18.8726, c1= 4.50415, s= 33.5488, t2= 18.8090, lat=43 26.0294 N, lon=062 12.8497 W, hms=000402, dmy=081018
t1= 18.8727, c1= 4.50405, s= 33.5479, t2= 18.8070, lat=43 26.0302 N, lon=062 12.8387 W, hms=000406, dmy=081018
t1= 18.8710, c1= 4.50373, s= 33.5466, t2= 18.8051, lat=43 26.0310 N, lon=062 12.8277 W, hms=000410, dmy=081018
