DateTime,Accelerometer,x,y,z,Temperature,Lux,Humidity,Proximity,Pressure,Altitude,Roll,Pitch 
2018-11-8 16:5:0.500,1.36,0.13,-9.21,23.12,0.00,26.80,13.37,102086.39,-68.53,179.18,-8.41
2018-11-8 16:5:2.000,1.41,0.01,-9.22,23.13,423.00,26.71,4.08,102084.45,-68.36,179.95,-8.69
2018-11-8 16:5:3.500,1.63,0.12,-9.17,23.12,414.00,26.70,4.08,102080.88,-68.03,179.23,-10.07
2018-11-8 16:5:3.000,1.18,0.14,-8.97,23.15,389.00,26.66,3.90,102093.22,-69.15,179.10,-7.49
2018-11-8 16:5:4.500,1.51,0.22,-9.63,23.14,452.00,26.67,3.99,102095.19,-69.32,178.70,-8.93
2018-11-8 16:5:4.000,1.47,-0.06,-9.13,23.14,376.00,26.66,3.99,102091.59,-69.00,-179.65,-9.12
2018-11-8 16:5:5.500,1.24,-0.38,-8.80,23.14,351.00,26.67,3.99,102097.13,-69.50,-177.52,-7.98
2018-11-8 16:5:5.000,1.29,-0.11,-9.14,23.14,265.00,26.72,3.96,102092.42,-69.07,-179.29,-8.05
2018-11-8 16:5:6.500,1.23,0.04,-9.84,23.14,234.00,26.71,3.98,102097.13,-69.50,179.79,-7.10
2018-11-8 16:5:6.000,1.07,-0.37,-9.56,23.14,238.00,26.70,3.97,102092.42,-69.07,-177.78,-6.40
2018-11-8 16:5:7.500,1.21,-0.04,-9.44,23.15,247.00,26.70,3.99,102099.56,-69.72,-179.78,-7.29
2018-11-8 16:5:7.000,1.58,-0.17,-9.18,23.16,243.00,26.75,4.01,102094.86,-69.29,-178.94,-9.77
2018-11-8 16:5:8.500,1.16,-0.22,-9.12,23.15,240.00,26.76,3.99,102091.28,-68.97,-178.63,-7.24
2018-11-8 16:5:8.000,0.49,-0.04,-9.74,23.15,241.00,26.77,3.99,102088.52,-68.72,-179.79,-2.87
2018-11-8 16:5:9.500,-0.76,0.12,-9.16,23.15,295.00,26.78,4.02,102091.28,-68.97,179.23,4.72
