t1= 11.3343, c1= 3.73965, s= 33.0596, t2= 11.2666, lat=47 04.4304 N, lon=045 36.9551 W, hms=000014, dmy=121018
t1= 11.3350, c1= 3.73977, s= 33.0602, t2= 11.2715, lat=47 04.4516 N, lon=045 36.8497 W, hms=000040, dmy=121018
t1= 11.3364, c1= 3.73985, s= 33.0596, t2= 11.2728, lat=47 04.4616 N, lon=045 36.7434 W, hms=000106, dmy=121018
t1= 11.3387, c1= 3.74008, s= 33.0598, t2= 11.2737, lat=47 04.4695 N, lon=045 36.6345 W, hms=000132, dmy=121018
t1= 11.3414, c1= 3.74031, s= 33.0597, t2= 11.2756, lat=47 04.4866 N, lon=045 36.5240 W, hms=000158, dmy=121018
t1= 11.3433, c1= 3.74046, s= 33.0596, t2= 11.2727, lat=47 04.5090 N, lon=045 36.4156 W, hms=000224, dmy=121018
t1= 11.3449, c1= 3.74064, s= 33.0598, t2= 11.2720, lat=47 04.5317 N, lon=045 36.3118 W, hms=000250, dmy=121018
t1= 11.3435, c1= 3.74044, s= 33.0592, t2= 11.2711, lat=47 04.5453 N, lon=045 36.2110 W, hms=000316, dmy=121018
t1= 11.3422, c1= 3.74037, s= 33.0595, t2= 11.2711, lat=47 04.5542 N, lon=045 36.1128 W, hms=000342, dmy=121018
t1= 11.3413, c1= 3.74029, s= 33.0596, t2= 11.2725, lat=47 04.5716 N, lon=045 36.0141 W, hms=000408, dmy=121018
t1= 11.3417, c1= 3.74039, s= 33.0602, t2= 11.2745, lat=47 04.6042 N, lon=045 35.8675 W, hms=000445, dmy=121018
t1= 11.3429, c1= 3.74050, s= 33.0603, t2= 11.2760, lat=47 04.6283 N, lon=045 35.7652 W, hms=000511, dmy=121018
t1= 11.3438, c1= 3.74058, s= 33.0602, t2= 11.2794, lat=47 04.6575 N, lon=045 35.6662 W, hms=000537, dmy=121018
t1= 11.3451, c1= 3.74068, s= 33.0600, t2= 11.2862, lat=47 04.6968 N, lon=045 35.5669 W, hms=000603, dmy=121018
t1= 11.3510, c1= 3.74128, s= 33.0606, t2= 11.2870, lat=47 04.7295 N, lon=045 35.4618 W, hms=000629, dmy=121018
t1= 11.3554, c1= 3.74162, s= 33.0601, t2= 11.2871, lat=47 04.7542 N, lon=045 35.3500 W, hms=000655, dmy=121018
t1= 11.3571, c1= 3.74182, s= 33.0605, t2= 11.2888, lat=47 04.7553 N, lon=045 35.2338 W, hms=000721, dmy=121018
t1= 11.3575, c1= 3.74190, s= 33.0609, t2= 11.2952, lat=47 04.7520 N, lon=045 35.1216 W, hms=000747, dmy=121018
t1= 11.3589, c1= 3.74205, s= 33.0612, t2= 11.2979, lat=47 04.7529 N, lon=045 35.0068 W, hms=000813, dmy=121018
t1= 11.3617, c1= 3.74230, s= 33.0611, t2= 11.3000, lat=47 04.7625 N, lon=045 34.8940 W, hms=000839, dmy=121018
t1= 11.6404, c1= 3.77040, s= 33.0873, t2= 11.5924, lat=47 04.8848 N, lon=045 34.3413 W, hms=001050, dmy=121018
t1= 11.6466, c1= 3.77117, s= 33.0892, t2= 11.5978, lat=47 04.8879 N, lon=045 34.2278 W, hms=001116, dmy=121018
t1= 11.6522, c1= 3.77185, s= 33.0910, t2= 11.6058, lat=47 04.8887 N, lon=045 34.1095 W, hms=001142, dmy=121018
t1= 11.6575, c1= 3.77246, s= 33.0922, t2= 11.6159, lat=47 04.9008 N, lon=045 33.9909 W, hms=001208, dmy=121018
t1= 11.6642, c1= 3.77324, s= 33.0938, t2= 11.6213, lat=47 04.9085 N, lon=045 33.8694 W, hms=001234, dmy=121018
t1= 11.6725, c1= 3.77438, s= 33.0976, t2= 11.6306, lat=47 04.9103 N, lon=045 33.7465 W, hms=001300, dmy=121018
t1= 11.6810, c1= 3.77531, s= 33.0991, t2= 11.6324, lat=47 04.9342 N, lon=045 33.6328 W, hms=001326, dmy=121018
t1= 11.6881, c1= 3.77598, s= 33.0992, t2= 11.6329, lat=47 04.9705 N, lon=045 33.5264 W, hms=001352, dmy=121018
t1= 11.6914, c1= 3.77643, s= 33.1007, t2= 11.6360, lat=47 05.0113 N, lon=045 33.4161 W, hms=001418, dmy=121018
t1= 11.6939, c1= 3.77682, s= 33.1022, t2= 11.6406, lat=47 05.0481 N, lon=045 33.3047 W, hms=001444, dmy=121018
t1= 11.6976, c1= 3.77721, s= 33.1028, t2= 11.6453, lat=47 05.0828 N, lon=045 33.1956 W, hms=001510, dmy=121018
t1= 11.7015, c1= 3.77768, s= 33.1038, t2= 11.6492, lat=47 05.1262 N, lon=045 33.0896 W, hms=001536, dmy=121018
t1= 11.7055, c1= 3.77805, s= 33.1039, t2= 11.6539, lat=47 05.1675 N, lon=045 32.9815 W, hms=001602, dmy=121018
t1= 11.7112, c1= 3.77870, s= 33.1051, t2= 11.6576, lat=47 05.1901 N, lon=045 32.8673 W, hms=001628, dmy=121018
t1= 11.7158, c1= 3.77944, s= 33.1083, t2= 11.6700, lat=47 05.2074 N, lon=045 32.7502 W, hms=001654, dmy=121018
t1= 11.7209, c1= 3.78024, s= 33.1116, t2= 11.6859, lat=47 05.2287 N, lon=045 32.6312 W, hms=001720, dmy=121018
t1= 11.7307, c1= 3.78162, s= 33.1162, t2= 11.6952, lat=47 05.2464 N, lon=045 32.5154 W, hms=001746, dmy=121018
t1= 11.7436, c1= 3.78338, s= 33.1219, t2= 11.7045, lat=47 05.2523 N, lon=045 32.4069 W, hms=001812, dmy=121018
t1= 11.7551, c1= 3.78482, s= 33.1257, t2= 11.7144, lat=47 05.2606 N, lon=045 32.3017 W, hms=001838, dmy=121018
t1= 11.7641, c1= 3.78592, s= 33.1283, t2= 11.7204, lat=47 05.2741 N, lon=045 32.1974 W, hms=001904, dmy=121018
t1= 11.7997, c1= 3.79022, s= 33.1385, t2= 11.7187, lat=47 05.3011 N, lon=045 32.0896 W, hms=001931, dmy=121018
t1= 11.7938, c1= 3.78957, s= 33.1375, t2= 11.7175, lat=47 05.3362 N, lon=045 31.9835 W, hms=001957, dmy=121018
t1= 11.7878, c1= 3.78884, s= 33.1357, t2= 11.7117, lat=47 05.3696 N, lon=045 31.8721 W, hms=002023, dmy=121018
t1= 11.7849, c1= 3.78839, s= 33.1340, t2= 11.7081, lat=47 05.3931 N, lon=045 31.7568 W, hms=002049, dmy=121018
t1= 11.7802, c1= 3.78774, s= 33.1317, t2= 11.7070, lat=47 05.4110 N, lon=045 31.6409 W, hms=002115, dmy=121018
t1= 11.7763, c1= 3.78715, s= 33.1295, t2= 11.7048, lat=47 05.4199 N, lon=045 31.5279 W, hms=002141, dmy=121018
t1= 11.7748, c1= 3.78688, s= 33.1282, t2= 11.7219, lat=47 05.4292 N, lon=045 31.4176 W, hms=002208, dmy=121018
t1= 11.7731, c1= 3.78667, s= 33.1276, t2= 11.7198, lat=47 05.4415 N, lon=045 31.3102 W, hms=002234, dmy=121018
t1= 11.7813, c1= 3.78737, s= 33.1271, t2= 11.7137, lat=47 05.4558 N, lon=045 31.2012 W, hms=002300, dmy=121018
t1= 11.7870, c1= 3.78790, s= 33.1272, t2= 11.7131, lat=47 05.4703 N, lon=045 31.0943 W, hms=002326, dmy=121018
t1= 11.7846, c1= 3.78748, s= 33.1253, t2= 11.7143, lat=47 05.4838 N, lon=045 30.9850 W, hms=002352, dmy=121018
t1= 11.7817, c1= 3.78719, s= 33.1251, t2= 11.7130, lat=47 05.4988 N, lon=045 30.8722 W, hms=002418, dmy=121018
t1= 11.7825, c1= 3.78729, s= 33.1253, t2= 11.7130, lat=47 05.5119 N, lon=045 30.7638 W, hms=002444, dmy=121018
t1= 11.7820, c1= 3.78721, s= 33.1250, t2= 11.7136, lat=47 05.5346 N, lon=045 30.6611 W, hms=002510, dmy=121018
t1= 11.7790, c1= 3.78695, s= 33.1252, t2= 11.7210, lat=47 05.5554 N, lon=045 30.5567 W, hms=002536, dmy=121018
t1= 11.7805, c1= 3.78710, s= 33.1252, t2= 11.7089, lat=47 05.5768 N, lon=045 30.4485 W, hms=002602, dmy=121018
t1= 11.7809, c1= 3.78709, s= 33.1248, t2= 11.7092, lat=47 05.5972 N, lon=045 30.3397 W, hms=002628, dmy=121018
t1= 11.7760, c1= 3.78682, s= 33.1265, t2= 11.7105, lat=47 05.6213 N, lon=045 30.2323 W, hms=002654, dmy=121018
t1= 11.7757, c1= 3.78690, s= 33.1276, t2= 11.7090, lat=47 05.6376 N, lon=045 30.1261 W, hms=002720, dmy=121018
t1= 11.7764, c1= 3.78710, s= 33.1288, t2= 11.7079, lat=47 05.6486 N, lon=045 30.0171 W, hms=002746, dmy=121018
t1= 11.7767, c1= 3.78770, s= 33.1345, t2= 11.7100, lat=47 05.6558 N, lon=045 29.9036 W, hms=002813, dmy=121018
t1= 11.7756, c1= 3.78768, s= 33.1353, t2= 11.7101, lat=47 05.6710 N, lon=045 29.7963 W, hms=002839, dmy=121018
t1= 11.7766, c1= 3.78777, s= 33.1353, t2= 11.7128, lat=47 05.6849 N, lon=045 29.6850 W, hms=002905, dmy=121018
t1= 11.7767, c1= 3.78787, s= 33.1361, t2= 11.7180, lat=47 05.6968 N, lon=045 29.5688 W, hms=002931, dmy=121018
t1= 11.7816, c1= 3.78835, s= 33.1364, t2= 11.7153, lat=47 05.7186 N, lon=045 29.4565 W, hms=002957, dmy=121018
t1= 11.7845, c1= 3.78858, s= 33.1362, t2= 11.7146, lat=47 05.7435 N, lon=045 29.3405 W, hms=003023, dmy=121018
t1= 11.7814, c1= 3.78833, s= 33.1364, t2= 11.7162, lat=47 05.7737 N, lon=045 29.2240 W, hms=003049, dmy=121018
t1= 11.7819, c1= 3.78843, s= 33.1369, t2= 11.7145, lat=47 05.8075 N, lon=045 29.1108 W, hms=003115, dmy=121018
t1= 11.7810, c1= 3.78843, s= 33.1378, t2= 11.7141, lat=47 05.8463 N, lon=045 29.0017 W, hms=003141, dmy=121018
t1= 11.7807, c1= 3.78843, s= 33.1380, t2= 11.7155, lat=47 05.8813 N, lon=045 28.8877 W, hms=003207, dmy=121018
t1= 11.7817, c1= 3.78851, s= 33.1379, t2= 11.7208, lat=47 05.9075 N, lon=045 28.7700 W, hms=003233, dmy=121018
t1= 11.7830, c1= 3.78864, s= 33.1380, t2= 11.7114, lat=47 05.9263 N, lon=045 28.6537 W, hms=003259, dmy=121018
t1= 11.7849, c1= 3.78878, s= 33.1376, t2= 11.7077, lat=47 05.9418 N, lon=045 28.5429 W, hms=003325, dmy=121018
t1= 11.7795, c1= 3.78825, s= 33.1373, t2= 11.7052, lat=47 05.9595 N, lon=045 28.4326 W, hms=003351, dmy=121018
t1= 11.7750, c1= 3.78788, s= 33.1377, t2= 11.7068, lat=47 05.9735 N, lon=045 28.3223 W, hms=003417, dmy=121018
t1= 11.7732, c1= 3.78766, s= 33.1372, t2= 11.7043, lat=47 05.9933 N, lon=045 28.2048 W, hms=003443, dmy=121018
t1= 11.7735, c1= 3.78791, s= 33.1394, t2= 11.7026, lat=47 06.0162 N, lon=045 28.0902 W, hms=003509, dmy=121018
t1= 11.7714, c1= 3.78768, s= 33.1390, t2= 11.7038, lat=47 06.0347 N, lon=045 27.9756 W, hms=003535, dmy=121018
t1= 11.7702, c1= 3.78770, s= 33.1403, t2= 11.7064, lat=47 06.0565 N, lon=045 27.8619 W, hms=003601, dmy=121018
